Taxon	max	min
Eotitanops	55.8	46.2
Palaeosyops	50.3	40.4
Orohippus	50.3	40.4
Epihippus	46.2	37.2
Mesohippus	40.4	30.8
Eohippus	55.8	50.3
Protorohippus	55.8	50.3
Xenicohippus	55.8	48.6
Sifrippus	55.5	55.4
Pliolophus	55	54.6
Hyracotherium	56	47.8
Palaeotherium	47.8	28.4
Plagiolophus	47.8	28.4
Leptolophus	37.2	33.9
Hallensia	55.8	48.6
Propachynolophus	48.6	40.4
Propalaeotherium	55.8	33.9
Lambdotherium	50.3	46.2
Homogalax	55.8	37.2
Cardiolophus	55.8	50.3
Eomoropus	48.6	33.9
Litolophus	55.8	48.6
Moropus	23	12.5
Lophiodon	48.6	33.9
Isectolophus	48.6	40.4
Heptodon	53.8	48.6
Helaletes	49.04	46.92
Lophialetes	48.6	33.9
Schlosseria	48.6	33.9
Deperetella	37.2	33.9
Teleolophus	55.8	28.4
Hyrachyus	49.04	46.92
Phenacodus	63.3	48.6
Ectocion	61.7	48.6
Tetraclaenodon	61.7	56.8
Meniscotherium	55.8	50.3
Cambaytherium	54.5	54.5
Nakusia	55.8	48.6
Anthracobune	48.6	40.4
Pilgrimella	48.6	40.4
Radinskya	61.7	58.7
Phenacolophus	58.7	55.8
Eritherium	59.2	56
Phosphatherium	56	47.8
Moeritherium	40.4	28.4
Numidotherium	56	33.9
Dimaitherium	38	33.9
Microhyrax	55.8	41.3
Saghatherium	33.9	28.4
Diacodexis	55.8	46.2
Tiuclaenus	65	64.87
Molinodus	66	61.8
Simoclaeunus	65	64.87
Pucanodus	65	64.87
Theosodon	21.1	11.8
Asmithwoodwardia	56	39
Didolodus	45	39
Cramauchenia	21.0	17.5
Thoatherium	16.9	16
Adiantoides	45	39
Depaulacoutia	58.7	48.6
Lamegoia	56	51.4
Victorlemoinea	56	42
Miguelsoria	56	51.4
Tetramerorhinus	16.9	16
Diadiaphorus	16.9	5.4
Escribania	63.5	61
Mioclaenus	63.3	56.8
Promioclaenus	66	56.8
Protoselene	66	56.8
Litaletes	66	56.8
Ellipsodon	66	61.7
Choeroclaenus	66	63.3
Orthaspidotherium	59.2	56
Pleuraspidotherium	58.7	55.8
Protolipterna	58.7	48.6
